Timestamp,1. Which Telecom operator is your PRIMARY connection?,2. How would you rate the network coverage at your home/workplace?  ,3. How often do you experience call drops or poor voice quality? ,4. What do you primarily use your mobile data for?  ,5. Do you face significant lag or buffering while using the apps mentioned above?  ,6. Are you satisfied with your current mobile internet speed (4G/5G)?,7. How long have you been using your current service provider?  ,8. Have you contacted customer care in the last 6 months?  ,"9. If Yes, was your issue resolved on the first call? (First Call Resolution) ",10. How would you rate the helpfulness of the support agent? ,11. How do you feel about your monthly mobile expenses? ,12. Is there a specific offer/feature from your provider that you absolutely love?  ,"13. Have you recently seen a better offer from a competitor (e.g., Airtel, Jio, Vi)? ","14. On a scale of 0-10, how likely are you to recommend your service to a friend or colleague?",15. Are you planning to switch your service provider?,16. What is the main factor that would make you switch to another operator? ,Your data will not be shared with anyone & will be used for the Academic Research only . 
12/17/2025 14:32:16,Airtel,Excellent,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails)",Occasionally buffers,It's manageable,More than 3 years,No,,,Fair / Reasonable,"Unlimited 5G Data, Data Rollover (Unused data carries forward), Cheaper Long-term Plans",No,8,Never taught about it,"Nothing, I am happy.",I understand
12/17/2025 14:38:38,Jio,Excellent,Rarely,General Browsing,Occasionally buffers,"Yes, it's very fast",Less than 6 months,Yes,Yes,1,Fair / Reasonable,Unlimited 5G Data,No,10,"No, I am happy.",Better Network Quality,I understand
12/17/2025 14:53:44,Jio,Excellent,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), General Browsing",Occasionally buffers,It's manageable,6 months - 1 year,No,,,Expensive,Unlimited 5G Data,No,9,Never taught about it,"Nothing, I am happy.",I understand
12/17/2025 15:20:56,Jio,Excellent,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,"Yes, it's very fast",More than 3 years,No,,,Expensive,Free OTT Subscriptions (Netflix/Prime/Disney+),No,7,Never taught about it,"Nothing, I am happy.",I understand
12/17/2025 15:22:53,"Jio, Vi (Vodafone Idea)",Excellent,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,More than 3 years,No,Yes,4,Expensive,"Free OTT Subscriptions (Netflix/Prime/Disney+), Data Rollover (Unused data carries forward)",Yes,9,"No, I am happy.",Lower Price / Cheaper Plans,I understand
12/17/2025 15:30:10,Jio,Average,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","Yes, it buffers frequently",It's manageable,1 - 3 years,No,,,Expensive,Unlimited 5G Data,No,5,Never taught about it,Lower Price / Cheaper Plans,I understand
12/17/2025 17:52:34,Vi (Vodafone Idea),Good,Rarely,"Social Media (Instagram, Facebook, etc.)","No, it runs smoothly","Yes, it's very fast",1 - 3 years,No,"No, it is still unresolved",3,Fair / Reasonable,Unlimited 5G Data,Yes,7,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/17/2025 18:26:25,Jio,Good,Rarely,"Social Media (Instagram, Facebook, etc.), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,More than 3 years,No,,,Fair / Reasonable,Unlimited 5G Data,No,7,"Maybe, I am thinking about it.",,I understand
12/17/2025 18:40:22,Jio,Good,Rarely,"OTT / Streaming (Netflix, YouTube, Hotstar)","No, it runs smoothly",It's manageable,More than 3 years,Yes,"No, I had to call multiple times",3,Fair / Reasonable,None,No,8,"No, I am happy.","Nothing, I am happy.",I understand
12/17/2025 18:44:20,Vi (Vodafone Idea),Excellent,Never,"Social Media (Instagram, Facebook, etc.), Gaming (BGMI, COD, etc.), General Browsing",Occasionally buffers,"Yes, it's very fast",1 - 3 years,No,,,Expensive,None,No,9,"No, I am happy.",Lower Price / Cheaper Plans,I understand
12/17/2025 19:01:59,Vi (Vodafone Idea),Good,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Gaming (BGMI, COD, etc.), General Browsing",Occasionally buffers,It's manageable,1 - 3 years,No,,,,,,,,,
12/17/2025 19:08:56,"Jio, Airtel",Good,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,More than 3 years,No,Yes,3,Expensive,Unlimited 5G Data,No,7,"Yes, as soon as my current plan expires.",Lower Price / Cheaper Plans,I understand
12/17/2025 19:17:08,Vi (Vodafone Idea),Excellent,Never,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly","Yes, it's very fast",More than 3 years,Yes,Yes,5,Cheap / Value for money,Unlimited 5G Data,No,10,"No, I am happy.","Nothing, I am happy.",I understand
12/17/2025 19:35:56,Jio,Good,Rarely,"Social Media (Instagram, Facebook, etc.), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,1 - 3 years,No,,,Expensive,None,Yes,7,"Maybe, I am thinking about it.",Lower Price / Cheaper Plans,I understand
12/17/2025 19:39:50,Vi (Vodafone Idea),Good,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,More than 3 years,No,Yes,3,Fair / Reasonable,"Data Rollover (Unused data carries forward), Night Free Data (12 AM - 6 AM)",Yes,7,Never taught about it,"Nothing, I am happy.",I understand
12/17/2025 19:58:11,Vi (Vodafone Idea),Good,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,1 - 3 years,No,,,Very expensive,Night Free Data (12 AM - 6 AM),No,5,"No, I am happy.",Lower Price / Cheaper Plans,I understand
12/17/2025 20:32:37,Jio,Very Poor,Frequently,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), General Browsing","Yes, it buffers frequently",It's manageable,More than 3 years,No,,,Expensive,None,Yes,2,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/17/2025 20:56:02,Airtel,Average,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Gaming (BGMI, COD, etc.)",Occasionally buffers,It's manageable,1 - 3 years,No,,,Expensive,None,Yes,5,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/17/2025 21:36:40,Jio,Good,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly","Yes, it's very fast",More than 3 years,No,,,Cheap / Value for money,"Unlimited 5G Data, Free OTT Subscriptions (Netflix/Prime/Disney+)",No,7,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/17/2025 22:28:58,Jio,Average,Occasionally,"OTT / Streaming (Netflix, YouTube, Hotstar), General Browsing",Occasionally buffers,It's manageable,6 months - 1 year,No,,,Expensive,None,No,4,"Maybe, I am thinking about it.",Lower Price / Cheaper Plans,I understand
12/17/2025 22:34:21,Vi (Vodafone Idea),Good,Frequently,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Gaming (BGMI, COD, etc.), General Browsing","Yes, it buffers frequently","No, it is extremely slow",6 months - 1 year,Yes,"No, it is still unresolved",2,Expensive,"Cheaper Long-term Plans, None",No,0,"Yes, as soon as my current plan expires.",More Data Benefits,I understand
12/18/2025 11:59:23,Jio,Good,Occasionally,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing",Occasionally buffers,It's manageable,6 months - 1 year,Yes,"No, I had to call multiple times",3,Expensive,Unlimited 5G Data,Yes,4,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/18/2025 14:37:35,Jio,Excellent,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), General Browsing","No, it runs smoothly","Yes, it's very fast",1 - 3 years,No,,,Fair / Reasonable,Free OTT Subscriptions (Netflix/Prime/Disney+),No,9,"No, I am happy.","Nothing, I am happy.",I understand
12/18/2025 23:04:34,Jio,Good,Occasionally,General Browsing,Occasionally buffers,It's manageable,More than 3 years,No,,,Fair / Reasonable,,Yes,7,"No, I am happy.","Nothing, I am happy.",I understand
12/18/2025 23:23:54,Jio,Good,Rarely,"Work / Office Calls (Zoom, Teams, Emails)","No, it runs smoothly","Yes, it's very fast",More than 3 years,No,Yes,5,Expensive,None,No,8,"No, I am happy.","Nothing, I am happy.",I understand
12/19/2025 20:08:13,Jio,Good,Rarely,"Work / Office Calls (Zoom, Teams, Emails), General Browsing",Occasionally buffers,It's manageable,More than 3 years,No,Yes,4,Fair / Reasonable,None,Yes,8,"No, I am happy.","Nothing, I am happy.",I understand
12/20/2025 8:15:02,Jio,Good,Rarely,"Social Media (Instagram, Facebook, etc.), General Browsing","No, it runs smoothly","Yes, it's very fast",More than 3 years,No,,,Fair / Reasonable,None,No,7,"No, I am happy.",Lower Price / Cheaper Plans,I understand
